date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2020-11-25,ARKK,"TESLA INC",TSLA,88160R101,2415451.00,1386468874.00,11.06
2020-11-25,ARKK,"ROKU INC",ROKU,77543R102,3004497.00,835430435.82,6.67
2020-11-25,ARKK,"INVITAE CORP",NVTA,46185L103,17598486.00,824489069.10,6.58
2020-11-25,ARKK,"SQUARE INC - A",SQ,852234103,3490670.00,743233456.40,5.93
2020-11-25,ARKK,"CRISPR THERAPEUTICS AG",CRSP,H17182108,6198536.00,681838960.00,5.44
2020-11-25,ARKK,"SLACK TECHNOLOGIES INC- CL A",WORK,83088V102,13619640.00,554319348.00,4.42
2020-11-25,ARKK,"TELADOC HEALTH INC",TDOC,87918A105,2578504.00,491437077.36,3.92
2020-11-25,ARKK,"PROTO LABS INC",PRLB,743713109,2853228.00,388096072.56,3.10
2020-11-25,ARKK,"ZILLOW GROUP INC - C",Z,98954M200,3427636.00,367065539.24,2.93
2020-11-25,ARKK,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,1255260.00,339033173.40,2.71
2020-11-25,ARKK,"PURE STORAGE INC - CLASS A",PSTG,74624M102,17868695.00,323959440.35,2.58
2020-11-25,ARKK,"LENDINGTREE INC","TREE UW",52603B107,1086593.00,282611973.37,2.25
2020-11-25,ARKK,"2U INC",TWOU,90214J101,8120745.00,270014771.25,2.15
2020-11-25,ARKK,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,6726300.00,255195822.00,2.04
2020-11-25,ARKK,"MATERIALISE NV-ADR",MTLS,57667T100,5707847.00,252058523.52,2.01
2020-11-25,ARKK,"PAGERDUTY INC",PD,69553P100,7613933.00,250879092.35,2.00
2020-11-25,ARKK,"SERES THERAPEUTICS INC",MCRB,81750R102,8501171.00,249849415.69,1.99
2020-11-25,ARKK,"VERACYTE INC",VCYT,92337F107,4743187.00,241428218.30,1.93
2020-11-25,ARKK,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,6654627.00,238634924.22,1.90
2020-11-25,ARKK,"TWILIO INC - A",TWLO,90138F102,731065.00,223340357.50,1.78
2020-11-25,ARKK,"EDITAS MEDICINE INC",EDIT,28106W103,7140537.00,210288814.65,1.68
2020-11-25,ARKK,"TWIST BIOSCIENCE CORP",TWST,90184D100,2030854.00,202354292.56,1.61
2020-11-25,ARKK,"EXACT SCIENCES CORP",EXAS,30063P105,1734489.00,200975240.43,1.60
2020-11-25,ARKK,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,2021614.00,197087148.86,1.57
2020-11-25,ARKK,"DOCUSIGN INC",DOCU,256163106,730980.00,163849167.00,1.31
2020-11-25,ARKK,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,1506190.00,156538326.70,1.25
2020-11-25,ARKK,"UNITY SOFTWARE INC",U,91332U101,1125694.00,154737897.24,1.23
2020-11-25,ARKK,"NINTENDO CO LTD-UNSPONS ADR",NTDOY,654445303,2242835.00,149372811.00,1.19
2020-11-25,ARKK,"COMPUGEN LTD",CGEN,M25722105,10940184.00,134892468.72,1.08
2020-11-25,ARKK,"SPLUNK INC",SPLK,848637104,652861.00,129827938.46,1.04
2020-11-25,ARKK,"PAYPAL HOLDINGS INC",PYPL,70450Y103,585676.00,125604074.96,1.00
2020-11-25,ARKK,"IRIDIUM COMMUNICATIONS INC",IRDM,46269C102,3847847.00,125016549.03,1.00
2020-11-25,ARKK,"PINTEREST INC- CLASS A",PINS,72352L106,1811416.00,122125666.72,0.97
2020-11-25,ARKK,"NANOSTRING TECHNOLOGIES INC",NSTG,63009R109,2572595.00,119574215.60,0.95
2020-11-25,ARKK,"SYNOPSYS INC",SNPS,871607107,534800.00,116062296.00,0.93
2020-11-25,ARKK,"CERUS CORP",CERS,157085101,19218009.00,115692414.18,0.92
2020-11-25,ARKK,"STRATASYS LTD",SSYS,M85548101,7107018.00,114138709.08,0.91
2020-11-25,ARKK,"ZOOM VIDEO COMMUNICATIONS-A",ZM,98980L101,257077.00,114070206.44,0.91
2020-11-25,ARKK,"HUYA INC-ADR",HUYA,44852D108,5087305.00,109326184.45,0.87
2020-11-25,ARKK,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,1452859.00,108601210.25,0.87
2020-11-25,ARKK,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,7180144.00,104399293.76,0.83
2020-11-25,ARKK,"KE HOLDINGS INC",BEKE,482497104,1518257.00,91854548.50,0.73
2020-11-25,ARKK,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,65257475.86,65257475.86,0.52
2020-11-25,ARKK,"SHOPIFY INC - CLASS A",SHOP,82509L107,61683.00,62887052.16,0.50
2020-11-25,ARKK,"SEA LTD-ADR",SE,81141R100,345593.00,61411876.10,0.49
2020-11-25,ARKK,"SYROS PHARMACEUTICALS INC",SYRS,87184Q107,5097545.00,40372556.40,0.32
2020-11-25,ARKK,"EXONE CO/THE",XONE,302104104,1487356.00,18071375.40,0.14
2020-11-25,ARKK,"DOUYU INTERNATIONAL HOLD-ADR",DOYU,25985W105,849587.00,11885722.13,0.09
2020-11-25,ARKK,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,835271.00,7158272.47,0.06
