date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2020-11-25,IZRL,"ONE SOFTWARE TECHNOLOGIES LT",ONE,6987709,13708.00,1704174.16,3.70
2020-11-25,IZRL,"PARTNER COMMUNICATIONS CO",PTNR,6374420,279933.00,1474597.69,3.20
2020-11-25,IZRL,"FATTAL HOLDINGS 1998 LTD",FTAL,BG1YKN5,16473.00,1453857.92,3.15
2020-11-25,IZRL,"FIVERR INTERNATIONAL LTD",FVRR,M4R82T106,7116.00,1446611.64,3.14
2020-11-25,IZRL,"GAMIDA CELL LTD",GMDA,M47364100,212893.00,1405093.80,3.05
2020-11-25,IZRL,"ITURAN LOCATION AND CONTROL",ITRN,M6158M104,79695.00,1408210.65,3.05
2020-11-25,IZRL,"CELLCOM ISRAEL LTD",CEL,B23WQK8,284912.00,1359935.16,2.95
2020-11-25,IZRL,"TOWER SEMICONDUCTOR LTD",TSEM,M87915274,56016.00,1351105.92,2.93
2020-11-25,IZRL,"DANEL (ADIR YEOSHUA) LTD",DANE,6253433,8946.00,1321756.70,2.87
2020-11-25,IZRL,"GILAT SATELLITE NETWORKS LTD",GILT,M51474118,220255.00,1306112.15,2.83
2020-11-25,IZRL,"TARO PHARMACEUTICAL INDUS",TARO,M8737E108,18472.00,1266625.04,2.75
2020-11-25,IZRL,"RADA ELECTRONIC INDS LTD",RADA,M81863124,163912.00,1237535.60,2.68
2020-11-25,IZRL,"NOVA MEASURING INSTRUMENTS",NVMI,M7516K103,19007.00,1199151.63,2.60
2020-11-25,IZRL,"SILICOM LTD",SILC,M84116108,31109.00,1195207.78,2.59
2020-11-25,IZRL,"INMODE LTD",INMD,M5425M103,27210.00,1186083.90,2.57
2020-11-25,IZRL,"RADWARE LTD",RDWR,M81873107,45101.00,1164507.82,2.53
2020-11-25,IZRL,"HILAN LTD",HLAN,6267230,25310.00,1166879.95,2.53
2020-11-25,IZRL,"ELBIT SYSTEMS LTD",ESLT,6308913,9256.00,1165215.82,2.53
2020-11-25,IZRL,"TEVA PHARMACEUTICAL-SP ADR",TEVA,881624209,118738.00,1157695.50,2.51
2020-11-25,IZRL,"POLYPID LTD",PYPD,M8001Q118,101862.00,1130668.20,2.45
2020-11-25,IZRL,"CAMTEK LTD",CAMT,M20791105,60358.00,1113605.10,2.42
2020-11-25,IZRL,"CERAGON NETWORKS LTD",CRNT,M22013102,431010.00,1116315.90,2.42
2020-11-25,IZRL,"NICE LTD - SPON ADR",NICE,653656108,4703.00,1100031.70,2.39
2020-11-25,IZRL,"PERION NETWORK LTD",PERI,M78673114,142800.00,1096704.00,2.38
2020-11-25,IZRL,"CYBERARK SOFTWARE LTD/ISRAEL",CYBR,M2682V108,9843.00,1098380.37,2.38
2020-11-25,IZRL,"SAPIENS INTERNATIONAL CORP",SPNS,G7T16G103,36338.00,1089776.62,2.36
2020-11-25,IZRL,"ALLOT LTD",ALLT,M0854Q105,108897.00,1080258.24,2.34
2020-11-25,IZRL,"STRATASYS LTD",SSYS,M85548101,66939.00,1075040.34,2.33
2020-11-25,IZRL,"BEZEQ THE ISRAELI TELECOM CO",BEZQ,6098032,910890.00,1043700.95,2.26
2020-11-25,IZRL,"CHECK POINT SOFTWARE TECH",CHKP,M22465104,8648.00,1032830.64,2.24
2020-11-25,IZRL,"MATRIX IT LTD",MTRX,6747754,45814.00,1012578.57,2.20
2020-11-25,IZRL,"UROGEN PHARMA LTD","URGN UQ",M96088105,48767.00,993871.46,2.16
2020-11-25,IZRL,"PLURISTEM THERAPEUTICS INC",PSTI,72940R300,104785.00,975548.35,2.12
2020-11-25,IZRL,"WIX.COM LTD",WIX,M98068105,3853.00,966255.34,2.10
2020-11-25,IZRL,"REDHILL BIOPHARMA LTD-SP ADR",RDHL,757468103,109958.00,941240.48,2.04
2020-11-25,IZRL,"KAMADA LTD",KMDA,B0L2CR5,138997.00,921212.16,2.00
2020-11-25,IZRL,"AUDIOCODES LTD",AUDC,M15342104,33069.00,920971.65,2.00
2020-11-25,IZRL,"BATM ADVANCED COMMUNICATIONS",BATM,B85PTW0,739108.00,861581.37,1.87
2020-11-25,IZRL,"COMPUGEN LTD",CGEN,M25722105,64004.00,789169.32,1.71
2020-11-25,IZRL,"AYALA PHARMACEUTICALS INC",AYLA,05465V108,69728.00,688215.36,1.49
2020-11-25,IZRL,"BIONDVAX PHARMACEUTICALS-ADR",BVXV,09073Q105,27355.00,88356.65,0.19
2020-11-25,IZRL,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,3035.73,3035.73,0.01
