date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2020-12-04,ARKG,"CRISPR THERAPEUTICS AG",CRSP,H17182108,3226691.00,476065990.14,9.89
2020-12-04,ARKG,"ARCTURUS THERAPEUTICS HOLDIN","ARCT UQ",03969T109,3744779.00,419452695.79,8.71
2020-12-04,ARKG,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,19473950.00,392984311.00,8.16
2020-12-04,ARKG,"INVITAE CORP",NVTA,46185L103,6206187.00,315770794.56,6.56
2020-12-04,ARKG,"TWIST BIOSCIENCE CORP",TWST,90184D100,2117823.00,272309681.34,5.66
2020-12-04,ARKG,"TELADOC HEALTH INC",TDOC,87918A105,917797.00,186918537.02,3.88
2020-12-04,ARKG,"CAREDX INC",CDNA,14167L103,2676182.00,173710973.62,3.61
2020-12-04,ARKG,"EXACT SCIENCES CORP",EXAS,30063P105,1274832.00,169386927.84,3.52
2020-12-04,ARKG,"CELLECTIS - ADR",CLLS,15117K103,5581234.00,164311528.96,3.41
2020-12-04,ARKG,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,3739676.00,161217432.36,3.35
2020-12-04,ARKG,"PERSONALIS INC",PSNL,71535D106,5026971.00,150658320.87,3.13
2020-12-04,ARKG,"FATE THERAPEUTICS INC",FATE,31189P102,2178515.00,132431926.85,2.75
2020-12-04,ARKG,"VERACYTE INC",VCYT,92337F107,2248761.00,129573608.82,2.69
2020-12-04,ARKG,"PURE STORAGE INC - CLASS A",PSTG,74624M102,5669211.00,119053431.00,2.47
2020-12-04,ARKG,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,2409636.00,104674587.84,2.17
2020-12-04,ARKG,"SERES THERAPEUTICS INC",MCRB,81750R102,3567728.00,90691645.76,1.88
2020-12-04,ARKG,"INCYTE CORP",INCY,45337C102,1075061.00,89380571.54,1.86
2020-12-04,ARKG,"ACCOLADE INC",ACCD,00437E102,1551884.00,76585475.40,1.59
2020-12-04,ARKG,"COMPUGEN LTD",CGEN,M25722105,5745076.00,72905014.44,1.51
2020-12-04,ARKG,"BERKELEY LIGHTS INC",BLI,084310101,870680.00,70768870.40,1.47
2020-12-04,ARKG,"EDITAS MEDICINE INC",EDIT,28106W103,2026424.00,69891363.76,1.45
2020-12-04,ARKG,"IONIS PHARMACEUTICALS INC",IONS,462222100,1205541.00,61747810.02,1.28
2020-12-04,ARKG,"VERTEX PHARMACEUTICALS INC",VRTX,92532F100,267067.00,60976737.44,1.27
2020-12-04,ARKG,"CERUS CORP",CERS,157085101,8188288.00,58873790.72,1.22
2020-12-04,ARKG,"SCHRODINGER INC",SDGR,80810D103,782401.00,51787122.19,1.08
2020-12-04,ARKG,"10X GENOMICS INC-CLASS A",TXG,88025U109,349517.00,52092013.68,1.08
2020-12-04,ARKG,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,50302581.18,50302581.18,1.05
2020-12-04,ARKG,"ADAPTIVE BIOTECHNOLOGIES",ADPT,00650F109,1012851.00,48394020.78,1.01
2020-12-04,ARKG,"AQUABOUNTY TECHNOLOGIES",AQB,03842K200,5845288.00,47113021.28,0.98
2020-12-04,ARKG,"TAKEDA PHARMACEUTIC-SP ADR","TAK UN",874060205,2503544.00,46941450.00,0.98
2020-12-04,ARKG,"CASTLE BIOSCIENCES INC",CSTL,14843C105,881054.00,45814808.00,0.95
2020-12-04,ARKG,"GUARDANT HEALTH INC",GH,40131M109,354072.00,43781002.80,0.91
2020-12-04,ARKG,"NOVARTIS AG-SPONSORED ADR",NVS,66987V109,457396.00,41906621.52,0.87
2020-12-04,ARKG,"PHREESIA INC",PHR,71944F106,862743.00,41101076.52,0.85
2020-12-04,ARKG,"NANOSTRING TECHNOLOGIES INC",NSTG,63009R109,668270.00,39314324.10,0.82
2020-12-04,ARKG,"BEAM THERAPEUTICS INC",BEAM,07373V105,650136.00,39047168.16,0.81
2020-12-04,ARKG,"CODEXIS INC",CDXS,192005106,2136764.00,37521575.84,0.78
2020-12-04,ARKG,"REGENERON PHARMACEUTICALS",REGN,75886F107,74686.00,36779120.70,0.76
2020-12-04,ARKG,"PLURISTEM THERAPEUTICS INC",PSTI,72940R300,2496470.00,27036770.10,0.56
2020-12-04,ARKG,"SYROS PHARMACEUTICALS INC",SYRS,87184Q107,3308514.00,25674068.64,0.53
2020-12-04,ARKG,"ROCHE HOLDINGS LTD-SPONS ADR",RHHBY,771195104,524507.00,22385958.76,0.47
2020-12-04,ARKG,"ALPHABET INC-CL A",GOOGL,02079K305,12125.00,22113090.00,0.46
2020-12-04,ARKG,"THERMO FISHER SCIENTIFIC INC",TMO,883556102,43020.00,20418152.40,0.42
2020-12-04,ARKG,"EVOGENE LTD",EVGN,M4119S104,4602387.00,17857261.56,0.37
2020-12-04,ARKG,"REPARE THERAPEUTICS INC",RPTX,760273102,394490.00,14201640.00,0.30
2020-12-04,ARKG,"LONGVIEW ACQUISITION CORP-A",LGVW,543195101,781519.00,12324554.63,0.26
2020-12-04,ARKG,"SURFACE ONCOLOGY INC",SURF,86877M209,687682.00,5893434.74,0.12
2020-12-04,ARKG,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,375748.00,3028528.88,0.06
