date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2020-12-11,ARKQ,"TESLA INC",TSLA,88160R101,248646.00,151671573.54,11.88
2020-12-11,ARKQ,"MATERIALISE NV-ADR",MTLS,57667T100,1826427.00,76052420.28,5.96
2020-12-11,ARKQ,"ALPHABET INC-CL C",GOOG,02079K107,30022.00,53492298.94,4.19
2020-12-11,ARKQ,"TRIMBLE INC",TRMB,896239100,837891.00,52653070.44,4.12
2020-12-11,ARKQ,"DEERE & CO",DE,244199105,202028.00,51672701.56,4.05
2020-12-11,ARKQ,"PROTO LABS INC",PRLB,743713109,322857.00,48034664.46,3.76
2020-12-11,ARKQ,"FLIR SYSTEMS INC",FLIR,302445101,1039696.00,43511277.60,3.41
2020-12-11,ARKQ,"KRATOS DEFENSE & SECURITY",KTOS,50077B207,1817853.00,43355794.05,3.39
2020-12-11,ARKQ,"JD.COM INC-ADR",JD,47215P106,521770.00,43103419.70,3.38
2020-12-11,ARKQ,"NXP SEMICONDUCTORS NV",NXPI,N6596X109,265856.00,41765977.60,3.27
2020-12-11,ARKQ,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,390862.00,40661373.86,3.18
2020-12-11,ARKQ,"2U INC",TWOU,90214J101,1201373.00,40546338.75,3.17
2020-12-11,ARKQ,"IRIDIUM COMMUNICATIONS INC",IRDM,46269C102,1172800.00,38936960.00,3.05
2020-12-11,ARKQ,"CATERPILLAR INC",CAT,149123101,203124.00,36418101.96,2.85
2020-12-11,ARKQ,"VIRGIN GALACTIC HOLDINGS INC",SPCE,92766K106,1095299.00,35093379.96,2.75
2020-12-11,ARKQ,"WORKHORSE GROUP INC",WKHS,98138J206,1504225.00,32762020.50,2.57
2020-12-11,ARKQ,"XILINX INC",XLNX,983919101,218447.00,31419232.01,2.46
2020-12-11,ARKQ,"BYD CO LTD-UNSPONSORED ADR",BYDDY,05606L100,703551.00,31174344.81,2.44
2020-12-11,ARKQ,"STRATASYS LTD",SSYS,M85548101,1693400.00,30921484.00,2.42
2020-12-11,ARKQ,"KOMATSU LTD -SPONS ADR",KMTUY,500458401,1119404.00,29563347.70,2.31
2020-12-11,ARKQ,"BAIDU INC - SPON ADR",BIDU,056752108,176494.00,28457892.56,2.23
2020-12-11,ARKQ,"AEROVIRONMENT INC",AVAV,008073108,331030.00,27773417.00,2.17
2020-12-11,ARKQ,"NANO DIMENSION LTD - ADR",NNDM,63008G203,3884929.00,23853464.06,1.87
2020-12-11,ARKQ,"SYNOPSYS INC",SNPS,871607107,100929.00,23858606.31,1.87
2020-12-11,ARKQ,"TERADYNE INC",TER,880770102,193725.00,22350053.25,1.75
2020-12-11,ARKQ,"SPLUNK INC",SPLK,848637104,140922.00,21878140.50,1.71
2020-12-11,ARKQ,"NIU TECHNOLOGIES-SPONS ADR",NIU,65481N100,620630.00,18097570.80,1.42
2020-12-11,ARKQ,"ANSYS INC",ANSS,03662Q105,51939.00,17409173.72,1.36
2020-12-11,ARKQ,"INTUITIVE SURGICAL INC",ISRG,46120E602,21056.00,16002560.00,1.25
2020-12-11,ARKQ,"AMAZON.COM INC",AMZN,023135106,5113.00,15934255.46,1.25
2020-12-11,ARKQ,"RAVEN INDUSTRIES INC",RAVN,754212108,401859.00,13273402.77,1.04
2020-12-11,ARKQ,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,168797.00,12683406.58,0.99
2020-12-11,ARKQ,"AUTODESK INC",ADSK,052769106,45132.00,12622517.76,0.99
2020-12-11,ARKQ,"ELBIT SYSTEMS LTD",ESLT,M3760D101,104434.00,12467330.92,0.98
2020-12-11,ARKQ,"NVIDIA CORP",NVDA,67066G104,23603.00,12286069.59,0.96
2020-12-11,ARKQ,"APPLE INC",AAPL,037833100,94238.00,11535673.58,0.90
2020-12-11,ARKQ,"EXONE CO/THE",XONE,302104104,997483.00,11241633.41,0.88
2020-12-11,ARKQ,"ROCKWELL AUTOMATION INC",ROK,773903109,45487.00,11222552.64,0.88
2020-12-11,ARKQ,"HONEYWELL INTERNATIONAL INC",HON,438516106,30504.00,6547073.52,0.51
2020-12-11,ARKQ,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,3251910.17,3251910.17,0.25
2020-12-11,ARKQ,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,197165.00,1516198.85,0.12
