date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2020-12-23,ARKF,"SQUARE INC - A",SQ,852234103,869297.00,200529431.96,10.45
2020-12-23,ARKF,"MERCADOLIBRE INC",MELI,58733R102,54217.00,90542932.17,4.72
2020-12-23,ARKF,"ZILLOW GROUP INC - C",Z,98954M200,632382.00,89311309.86,4.66
2020-12-23,ARKF,"PINTEREST INC- CLASS A",PINS,72352L106,1085982.00,79265826.18,4.13
2020-12-23,ARKF,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,666433.00,74760453.94,3.90
2020-12-23,ARKF,"PAYPAL HOLDINGS INC",PYPL,70450Y103,299295.00,71663194.80,3.74
2020-12-23,ARKF,"ADYEN NV",ADYEN,BZ1HM42,30194.00,71578381.54,3.73
2020-12-23,ARKF,"SEA LTD-ADR",SE,81141R100,341324.00,66582072.68,3.47
2020-12-23,ARKF,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,853654.00,62871617.10,3.28
2020-12-23,ARKF,"ALIBABA GROUP HOLDING-SP ADR",BABA,01609W102,219295.00,56178993.10,2.93
2020-12-23,ARKF,"TWILIO INC - A",TWLO,90138F102,140614.00,51082253.92,2.66
2020-12-23,ARKF,"MEITUAN-CLASS B",3690,BGJW376,1360015.00,50344288.74,2.62
2020-12-23,ARKF,"AMAZON.COM INC",AMZN,023135106,15206.00,48435215.62,2.52
2020-12-23,ARKF,"LENDINGTREE INC","TREE UW",52603B107,172402.00,47586400.04,2.48
2020-12-23,ARKF,"SNAP INC - A",SNAP,83304A106,899370.00,46533403.80,2.43
2020-12-23,ARKF,"DOCUSIGN INC",DOCU,256163106,190668.00,46532525.40,2.43
2020-12-23,ARKF,"APPLE INC",AAPL,037833100,321644.00,42122498.24,2.20
2020-12-23,ARKF,"LIGHTSPEED POS INC-SUB VOTE",LSPD,BGHVW01,619396.00,41636907.77,2.17
2020-12-23,ARKF,"SILVERGATE CAPITAL CORP-CL A",SI,82837P408,589387.00,39040994.88,2.04
2020-12-23,ARKF,"SPLUNK INC",SPLK,848637104,209005.00,38153862.75,1.99
2020-12-23,ARKF,"FACEBOOK INC-CLASS A",FB,30303M102,138728.00,37194364.08,1.94
2020-12-23,ARKF,"WORKDAY INC-CLASS A",WDAY,98138H101,149718.00,37243849.68,1.94
2020-12-23,ARKF,"Z HOLDINGS CORP",4689,6084848,5984007.00,35451360.73,1.85
2020-12-23,ARKF,"ZHONGAN ONLINE P&C INSURAN-H",6060,BYZQ099,7375945.00,33630374.40,1.75
2020-12-23,ARKF,"SHOPIFY INC - CLASS A",SHOP,82509L107,27564.00,33020569.44,1.72
2020-12-23,ARKF,"INTUIT INC",INTU,461202103,83648.00,31528604.16,1.64
2020-12-23,ARKF,"GUIDEWIRE SOFTWARE INC",GWRE,40171V100,204043.00,26229727.65,1.37
2020-12-23,ARKF,"OPENDOOR TECHNOLOGIES INC",OPEN,683712103,939949.00,25613610.25,1.34
2020-12-23,ARKF,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,236847.00,24575244.72,1.28
2020-12-23,ARKF,"PINDUODUO INC-ADR",PDD,722304102,172862.00,24243895.50,1.26
2020-12-23,ARKF,"SCHWAB (CHARLES) CORP",SCHW,808513105,455124.00,23825741.40,1.24
2020-12-23,ARKF,"DISCOVERY LTD",DSY,6177878,2169629.00,22733235.47,1.19
2020-12-23,ARKF,"JD.COM INC-ADR",JD,47215P106,257842.00,22035177.32,1.15
2020-12-23,ARKF,"TELADOC HEALTH INC",TDOC,87918A105,98838.00,20698653.96,1.08
2020-12-23,ARKF,"BASE INC",4477,BKRQ8Q2,207700.00,19665330.18,1.03
2020-12-23,ARKF,"NVIDIA CORP",NVDA,67066G104,37750.00,19643967.50,1.02
2020-12-23,ARKF,"SBI HOLDINGS INC",8473,6309466,676862.00,18244963.82,0.95
2020-12-23,ARKF,"HDFC BANK LTD-ADR",HDB,40415F101,260422.00,17987347.54,0.94
2020-12-23,ARKF,"TCS GROUP HOLDING-GDR REG S","TCS LI",87238U203,559071.00,17750504.25,0.93
2020-12-23,ARKF,"YEAHKA LTD",9923,BL58D39,3628800.00,17224057.47,0.90
2020-12-23,ARKF,"LENDINGCLUB CORP",LC,52603A208,1879598.00,16841198.08,0.88
2020-12-23,ARKF,"KE HOLDINGS INC",BEKE,482497104,242037.00,16451254.89,0.86
2020-12-23,ARKF,"VERISK ANALYTICS INC",VRSK,92345Y106,72547.00,14507223.59,0.76
2020-12-23,ARKF,"INTERACTIVE BROKERS GRO-CL A",IBKR,45841N107,175929.00,10707038.94,0.56
2020-12-23,ARKF,"MARKETAXESS HOLDINGS INC",MKTX,57060D108,15774.00,9038028.78,0.47
2020-12-23,ARKF,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,7110991.85,7110991.85,0.37
2020-12-23,ARKF,TRANSUNION,TRU,89400J107,34049.00,3405921.47,0.18
2020-12-23,ARKF,"HONG KONG DOLLAR",,CCTHKD,21883383.15,2822533.33,0.15
2020-12-23,ARKF,"U.S. DOLLAR",,CCTUSD,2550390.06,2550390.06,0.13
2020-12-23,ARKF,"JSC KASPI.KZ GDR-REG S",KSPI,BMXZ8G7,30234.00,1814040.00,0.09
2020-12-23,ARKF,"SLACK TECHNOLOGIES INC- CL A",WORK,83088V102,24876.00,1058722.56,0.06
2020-12-23,ARKF,"HONG KONG DOLLAR",,CCTHKD,3104488.47,400418.99,0.02
2020-12-23,ARKF,"HONG KONG DOLLAR",,CCTHKD,1040929.67,134259.80,0.01
2020-12-23,ARKF,"HONG KONG DOLLAR",,CCTHKD,1552244.23,200209.49,0.01
2020-12-23,ARKF,"HONG KONG DOLLAR",,CCTHKD,884593.61,114095.47,0.01
2020-12-23,ARKF,"JD HEALTH INTERNATIONAL INC",6618,BMW8R04,6925.00,174172.27,0.01
2020-12-23,ARKF,EURO,,CCTEUR,233396.64,284616.17,0.01
