date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2020-12-30,PRNT,"SLM SOLUTIONS GROUP AG",AM3D,BMHTHK2,424298.00,9084984.89,6.86
2020-12-30,PRNT,"3D SYSTEMS CORP",DDD,88554D205,818772.00,8752672.68,6.61
2020-12-30,PRNT,"HP INC",HPQ,40434L105,281788.00,6853084.16,5.17
2020-12-30,PRNT,"STRATASYS LTD",SSYS,M85548101,329503.00,6814122.04,5.14
2020-12-30,PRNT,"PTC INC",PTC,69370C100,53804.00,6430116.04,4.85
2020-12-30,PRNT,"MATERIALISE NV-ADR",MTLS,57667T100,113322.00,6213445.26,4.69
2020-12-30,PRNT,"RENISHAW PLC",RSW,0732358,73622.00,6049049.98,4.57
2020-12-30,PRNT,"TRIMBLE INC",TRMB,896239100,90432.00,5998354.56,4.53
2020-12-30,PRNT,"STRAUMANN HOLDING AG-REG",STMN,7156832,5112.00,5978150.90,4.51
2020-12-30,PRNT,"ALTAIR ENGINEERING INC - A",ALTR,021369103,102744.00,5977645.92,4.51
2020-12-30,PRNT,"PROTO LABS INC",PRLB,743713109,37930.00,5971699.20,4.51
2020-12-30,PRNT,"MGI DIGITAL GRAPHIC TECHNOLO",ALMDG,B18FJV7,99824.00,5840459.21,4.41
2020-12-30,PRNT,"AUTODESK INC",ADSK,052769106,18478.00,5532497.98,4.18
2020-12-30,PRNT,"DASSAULT SYSTEMES SE",DSY,5330047,25529.00,5257548.77,3.97
2020-12-30,PRNT,"ANSYS INC",ANSS,03662Q105,13457.00,4875740.24,3.68
2020-12-30,PRNT,"MICROSOFT CORP",MSFT,594918104,21490.00,4763903.20,3.60
2020-12-30,PRNT,"EXONE CO/THE",XONE,302104104,445696.00,4334393.60,3.27
2020-12-30,PRNT,"ALIGN TECHNOLOGY INC",ALGN,016255101,4066.00,2131885.12,1.61
2020-12-30,PRNT,"HEXAGON AB-B SHS",HEXAB,B1XFTL2,18090.00,1652419.08,1.25
2020-12-30,PRNT,"AMETEK INC",AME,031100100,12621.00,1512374.43,1.14
2020-12-30,PRNT,"FARO TECHNOLOGIES INC",FARO,311642102,21492.00,1498637.16,1.13
2020-12-30,PRNT,"KAISER ALUMINUM CORP",KALU,483007704,14970.00,1473048.00,1.11
2020-12-30,PRNT,"GENERAL ELECTRIC CO",GE,369604103,135928.00,1455788.88,1.10
2020-12-30,PRNT,"AEROJET ROCKETDYNE HOLDINGS",AJRD,007800105,24044.00,1266157.04,0.96
2020-12-30,PRNT,"OC OERLIKON CORP AG-REG",OERL,4612757,122093.00,1266539.26,0.96
2020-12-30,PRNT,"ARCONIC CORP",ARNC,03966V107,41618.00,1229811.90,0.93
2020-12-30,PRNT,"ULTRA CLEAN HOLDINGS INC",UCTT,90385V107,39220.00,1235822.20,0.93
2020-12-30,PRNT,"BERTRANDT AG",BDT,5130861,25157.00,1224500.90,0.92
2020-12-30,PRNT,"MICHELIN (CGDE)",ML,4588364,8850.00,1153610.02,0.87
2020-12-30,PRNT,"MOOG INC-CLASS A",MOG/A,615394202,14586.00,1157107.38,0.87
2020-12-30,PRNT,"LINCOLN ELECTRIC HOLDINGS",LECO,533900106,9506.00,1108399.60,0.84
2020-12-30,PRNT,"SIEMENS AG-REG",SIE,5727973,7358.00,1062861.41,0.80
2020-12-30,PRNT,"STRYKER CORP",SYK,863667101,4247.00,1028028.82,0.78
2020-12-30,PRNT,"MEDTRONIC PLC","MDT UN",G5960L103,8819.00,1019829.16,0.77
2020-12-30,PRNT,"NUVASIVE INC",NUVA,670704105,17875.00,1010116.25,0.76
2020-12-30,PRNT,"UNITED PARCEL SERVICE-CL B",UPS,911312106,5536.00,920249.28,0.69
2020-12-30,PRNT,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,668375.54,668375.54,0.50
2020-12-30,PRNT,"ALLEGHENY TECHNOLOGIES INC",ATI,01741R102,15429.00,259670.07,0.20
2020-12-30,PRNT,"CARPENTER TECHNOLOGY",CRS,144285103,7804.00,222570.08,0.17
2020-12-30,PRNT,"HEXCEL CORP",HXL,428291108,3986.00,194237.78,0.15
2020-12-30,PRNT,"SGL CARBON SE",SGL,4818351,41875.00,185037.10,0.14
2020-12-30,PRNT,"SANDVIK AB",SAND,B1VQ252,7402.00,181521.91,0.14
2020-12-30,PRNT,"VOESTALPINE AG",VOE,4943402,5126.00,184608.33,0.14
2020-12-30,PRNT,"TORAY INDUSTRIES INC",3402,6897143,28708.00,169832.15,0.13
2020-12-30,PRNT,"EVONIK INDUSTRIES AG",EVK,B5ZQ9D3,5337.00,175020.17,0.13
2020-12-30,PRNT,"DUPONT DE NEMOURS INC",DD,26614N102,2427.00,170618.10,0.13
2020-12-30,PRNT,"EASTMAN CHEMICAL CO",EMN,277432100,1673.00,167751.71,0.13
2020-12-30,PRNT,"HENKEL AG & CO KGAA VORZUG",HEN3,5076705,1346.00,152704.50,0.12
2020-12-30,PRNT,"XEROX HOLDINGS CORP","XRX UN",98421M106,7200.00,164808.00,0.12
2020-12-30,PRNT,"3M CO",MMM,88579Y101,845.00,147122.95,0.11
2020-12-30,PRNT,ARKEMA,AKE,B0Z5YZ2,1294.00,150304.21,0.11
2020-12-30,PRNT,"KONINKLIJKE DSM NV",DSM,B0HZL93,843.00,148069.25,0.11
