date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2021-01-20,ARKW,"TESLA INC",TSLA,88160R101,722284.00,614266427.80,9.40
2021-01-20,ARKW,"ROKU INC",ROKU,77543R102,799040.00,342388640.00,5.24
2021-01-20,ARKW,"SQUARE INC - A",SQ,852234103,1142878.00,259033298.70,3.97
2021-01-20,ARKW,"TELADOC HEALTH INC",TDOC,87918A105,1034447.00,255239452.78,3.91
2021-01-20,ARKW,"GRAYSCALE BITCOIN TRUST BTC",GBTC,389637109,6794365.00,240180802.75,3.68
2021-01-20,ARKW,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,2553627.00,224897929.89,3.44
2021-01-20,ARKW,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,585826.00,194148594.66,2.97
2021-01-20,ARKW,"NETFLIX INC",NFLX,64110L106,303686.00,178063249.24,2.73
2021-01-20,ARKW,"PURE STORAGE INC - CLASS A",PSTG,74624M102,6536496.00,149489663.52,2.29
2021-01-20,ARKW,"SEA LTD-ADR",SE,81141R100,618467.00,144195581.05,2.21
2021-01-20,ARKW,"FACEBOOK INC-CLASS A",FB,30303M102,533170.00,142612311.60,2.18
2021-01-20,ARKW,"PINTEREST INC- CLASS A",PINS,72352L106,1912340.00,138912377.60,2.13
2021-01-20,ARKW,"FASTLY INC - CLASS A",FSLY,31188V100,1401179.00,136685011.45,2.09
2021-01-20,ARKW,"PAYPAL HOLDINGS INC",PYPL,70450Y103,540642.00,132057214.92,2.02
2021-01-20,ARKW,"ZOOM VIDEO COMMUNICATIONS-A",ZM,98980L101,337716.00,129277684.80,1.98
2021-01-20,ARKW,"ZILLOW GROUP INC - C",Z,98954M200,867838.00,128908656.52,1.97
2021-01-20,ARKW,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,1101291.00,126307064.79,1.93
2021-01-20,ARKW,"TWILIO INC - A",TWLO,90138F102,315730.00,124072418.10,1.90
2021-01-20,ARKW,"SNAP INC - A",SNAP,83304A106,2359211.00,123150814.20,1.89
2021-01-20,ARKW,"SHOPIFY INC - CLASS A",SHOP,82509L107,102876.00,123552018.48,1.89
2021-01-20,ARKW,"OPENDOOR TECHNOLOGIES INC",OPEN,683712103,3893287.00,116798610.00,1.79
2021-01-20,ARKW,"LENDINGTREE INC","TREE UW",52603B107,354957.00,113241931.71,1.73
2021-01-20,ARKW,"DOCUSIGN INC",DOCU,256163106,443421.00,113209815.51,1.73
2021-01-20,ARKW,"PAGERDUTY INC",PD,69553P100,2226551.00,110058415.93,1.68
2021-01-20,ARKW,"HUYA INC-ADR",HUYA,44852D108,4710087.00,109368220.14,1.67
2021-01-20,ARKW,"BAIDU INC - SPON ADR",BIDU,056752108,415439.00,108388035.10,1.66
2021-01-20,ARKW,"KE HOLDINGS INC",BEKE,482497104,1414991.00,103025494.71,1.58
2021-01-20,ARKW,"NVIDIA CORP",NVDA,67066G104,170000.00,90887100.00,1.39
2021-01-20,ARKW,"VERACYTE INC",VCYT,92337F107,1645791.00,89152498.47,1.36
2021-01-20,ARKW,"ALIBABA GROUP HOLDING-SP ADR",BABA,01609W102,315872.00,83860857.28,1.28
2021-01-20,ARKW,"2U INC",TWOU,90214J101,1882940.00,83828488.80,1.28
2021-01-20,ARKW,"AGORA INC-ADR",API,00851L103,1740007.00,80423123.54,1.23
2021-01-20,ARKW,"UNITY SOFTWARE INC",U,91332U101,533591.00,78571274.75,1.20
2021-01-20,ARKW,"MERCADOLIBRE INC",MELI,58733R102,39603.00,78585817.02,1.20
2021-01-20,ARKW,"PELOTON INTERACTIVE INC-A",PTON,70614W100,488993.00,76180219.47,1.17
2021-01-20,ARKW,"NINTENDO CO LTD-UNSPONS ADR",NTDOY,654445303,959272.00,75686560.80,1.16
2021-01-20,ARKW,"SALESFORCE.COM INC",CRM,79466L302,335687.00,75005903.28,1.15
2021-01-20,ARKW,"TRADE DESK INC/THE -CLASS A",TTD,88339J105,90397.00,73311063.03,1.12
2021-01-20,ARKW,"JD.COM INC-ADR",JD,47215P106,735057.00,70058282.67,1.07
2021-01-20,ARKW,"ADOBE INC",ADBE,00724F101,147509.00,69289402.57,1.06
2021-01-20,ARKW,"SYNOPSYS INC",SNPS,871607107,248473.00,67939972.39,1.04
2021-01-20,ARKW,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,520287.00,67970293.68,1.04
2021-01-20,ARKW,"CLOUDFLARE INC - CLASS A",NET,18915M107,803486.00,67099115.86,1.03
2021-01-20,ARKW,"CROWDSTRIKE HOLDINGS INC - A",CRWD,22788C105,284848.00,64469647.84,0.99
2021-01-20,ARKW,"HUBSPOT INC",HUBS,443573100,158772.00,62819729.52,0.96
2021-01-20,ARKW,"APPLE INC",AAPL,037833100,468616.00,61871370.48,0.95
2021-01-20,ARKW,"SPLUNK INC",SPLK,848637104,354540.00,61214876.40,0.94
2021-01-20,ARKW,"ADYEN NV-UNSPON ADR",ADYEY,00783V104,1328276.00,60901454.60,0.93
2021-01-20,ARKW,"ATLASSIAN CORP PLC-CLASS A",TEAM,G06242104,243126.00,56310412.86,0.86
2021-01-20,ARKW,"LENDINGCLUB CORP",LC,52603A208,4605038.00,55536758.28,0.85
2021-01-20,ARKW,"OKTA INC",OKTA,679295105,202661.00,53520743.49,0.82
2021-01-20,ARKW,"PALANTIR TECHNOLOGIES INC-A",PLTR,69608A108,1967112.00,51813730.08,0.79
2021-01-20,ARKW,"NANO DIMENSION LTD - ADR",NNDM,63008G203,4012132.00,46219760.64,0.71
2021-01-20,ARKW,"SKILLZ INC",SKLZ,83067L109,937535.00,26897879.15,0.41
2021-01-20,ARKW,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,21148777.15,21148777.15,0.32
